image,alt,taille,ordre,actif
https://chamblybadminton.fr/wp-content/uploads/2023/05/Victoire-Top-12-2023-mod-1-1400x672.jpg,Victoire Top 12 2023,wide-tall,1,x
https://chamblybadminton.fr/wp-content/uploads/2024/09/Pic-114-18-mai-2024-1199x800.jpg,Match mai 2024,,2,x
https://chamblybadminton.fr/wp-content/uploads/2024/09/Pic-125-18-mai-2024-1200x800.jpg,Action Top 12,,3,x
https://chamblybadminton.fr/wp-content/uploads/2024/09/Pic-215-18-mai-2024-1198x800.jpg,Équipe,tall,4,x
https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-114-1198x800.jpg,Joueurs,,5,x
https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-120-1198x800.jpg,Joueurs,,6,x
https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-138-1198x800.jpg,Salle,wide,7,x
https://chamblybadminton.fr/wp-content/uploads/2024/10/Pic-199-21-septembre-2024-801x800.jpg,Tournoi,,8,x
https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-129-1198x800.jpg,Public,,9,x
https://chamblybadminton.fr/wp-content/uploads/2024/11/Fevrier-2024-1067x800.jpg,Février 2024,,10,x
https://chamblybadminton.fr/wp-content/uploads/2024/09/Pic-030-18-mai-2024-1-768x1151.jpg,Joueur BCCO,wide,11,x
https://chamblybadminton.fr/wp-content/uploads/2020/06/Tournoi-Halloween-1132x800.jpg,Tournoi Halloween,,12,x
