equipe,nom,prenom,nationalite,palmares,headline,photo
top12,BOUVILLE,Eva,FRA,"Finaliste France Jeunes (DD + DX), sélection Mondiaux U19",Internationale junior française,
top12,CORRALES,Beatriz,ESP,"Bronze Jeux Européens 2015 (simple), vainqueure Spanish Open 2013",Médaillée de bronze européenne simple dame,
top12,DELRUE,Delphine,FRA,"N°5 mondiale double mixte, championne d'Europe 2024 DX, JO Paris 2024",Championne d'Europe 2024 de double mixte,
top12,HUET,Léonice,FRA,"~N°63 mondial simple, olympienne Tokyo 2020",Olympienne simple dame Tokyo 2020,
top12,LI,Michelle,CAN,"N°8 mondiale simple (2019), or Commonwealth 2014, championne panaméricaine",Championne panaméricaine,
top12,NALBANTOVA,Kaloyana,BUL,"Championne d'Europe juniors 2022, JO Paris 2024",Championne d'Europe juniors 2022 simple,
top12,VAN LEEUWEN,Estelle,ENG,"Vice-championne d'Europe 2026 double mixte, All England 2025, Mondiaux 2025",Vice-championne d'Europe 2026 double mixte,
top12,ADAM,Eloi,FRA,Vice-champion d'Europe 2025 double hommes (avec Rossi),Vice-champion d'Europe 2025 double hommes,
top12,DELRUE,Fabien,FRA,Triple champion d'Europe juniors 2018 (DH + DX + équipes),Triple champion d'Europe juniors 2018,
top12,KOLJONEN,Kalle Juhani,FIN,"~N°50 mondial simple, premier Finlandais médaillé aux Championnats d'Europe, JO Paris 2024",Premier Finlandais médaillé aux Championnats d'Europe,
top12,LEVEQUE,Sacha,FRA,"International français senior, podium international Pologne",International français senior,
top12,LOUDA,Jan,CZE,"~N°60-80 mondial simple, olympien Paris 2024",Olympien tchèque Paris 2024 simple,
top12,ROSSI,Léo,FRA,"Vice-champion d'Europe 2025 double hommes (avec Adam), ~N°52 mondial DH",Vice-champion d'Europe 2025 double hommes,
top12,ROY,Enogat,FRA,Bronze Championnats de France 2026 simple homme,Médaillé de bronze France 2026 simple H,
top12,TORES,Aymeric,FRA,Bronze Championnats de France 2025 double mixte (avec Schaffner),Médaillé de bronze France 2025 double mixte,
