equipe,date,date_affichage,journee,adversaire,domicile,tag,actif
top12,2025-09-27,27 sept.,J01,Racing Club de France,,Extérieur,x
top12,2025-10-18,18 oct.,J02,Conquérant Caen,x,Domicile,x
top12,2025-11-08,08 nov.,J03,Stella Saint-Maur,x,Domicile,x
top12,2025-11-22,22 nov.,J04,Fos-sur-Mer,,Extérieur,x
top12,2025-12-13,13 déc.,J05,Flume Ille,x,Domicile,x
top12,2026-01-17,17 janv.,J06,Racing Club de France,x,Domicile,x
top12,2026-02-21,21 févr.,J07,Conquérant Caen,,Extérieur,x
top12,2026-03-14,14 mars,J08,Stella Saint-Maur,,Extérieur,x
top12,2026-03-28,28 mars,J09,Fos-sur-Mer,x,Domicile,x
top12,2026-04-11,11 avr.,J10,Flume Ille,,Extérieur,x
n2,2025-09-27,27 sept.,J01,Racing Club de France,,Extérieur,x
n2,2025-10-18,18 oct.,J02,Lyon,x,Domicile,x
n2,2025-11-08,08 nov.,J03,Bourges,x,Domicile,x
n2,2025-11-22,22 nov.,J04,Salbris,,Extérieur,x
n2,2025-12-13,13 déc.,J05,Isle d'Abeau,x,Domicile,x
n2,2026-01-17,17 janv.,J06,Racing Club de France,x,Domicile,x
n2,2026-02-21,21 févr.,J07,Lyon,,Extérieur,x
n2,2026-03-14,14 mars,J08,Bourges,,Extérieur,x
n2,2026-03-28,28 mars,J09,Salbris,x,Domicile,x
n2,2026-04-11,11 avr.,J10,Isle d'Abeau,,Extérieur,x
d3,2025-11-09,9 nov.,J01,Liancourt Clermont,,Extérieur,x
d3,2025-11-09,9 nov.,J02,Compiegnois,,Extérieur,x
d3,2025-11-23,23 nov.,J03,Margny-Venette,x,Domicile,x
d3,2025-11-23,23 nov.,J04,Cosacien,,Extérieur,x
d3,2025-12-14,14 déc.,J05,Chantilly,x,Domicile,x
d3,2026-01-18,18 janv.,J06,Liancourt Clermont,x,Domicile,x
d3,2026-01-18,18 janv.,J07,Meruvien,,Extérieur,x
d2,2025-11-09,9 nov.,J01,Liancourt Clermont,x,Domicile,x
d2,2025-11-09,9 nov.,J02,Beauvais,x,Domicile,x
d2,2025-11-23,23 nov.,J03,Crepynoise,x,Domicile,x
d2,2025-12-14,14 déc.,J05,Liancourt Clermont,,Extérieur,x
d2,2025-12-14,14 déc.,J06,Liancourt Clermont,,Extérieur,x
d2,2026-01-18,18 janv.,J07,Beauvais,x,Domicile,x
d2,2026-01-18,18 janv.,J08,Crepynoise,x,Domicile,x
d2,2026-03-15,15 mars,J09,Orry-la-Chapelle,,Extérieur,x
d2,2026-03-15,15 mars,J10,Compiegnois,,Extérieur,x
icd,2025-11-09,9 nov.,J01,Crepynoise (ASCB-2),x,Domicile,x
icd,2025-11-23,23 nov.,J02,Senlisien,x,Domicile,x
icd,2025-11-23,23 nov.,J03,Verberie,,Extérieur,x
icd,2025-12-14,14 déc.,J04,Liancourt Clermont,x,Domicile,x
icd,2025-12-14,14 déc.,J05,Beauvais,x,Domicile,x
icd,2026-01-18,18 janv.,J06,Orry-la-Chapelle,x,Domicile,x
icd,2026-01-18,18 janv.,J07,Crepynoise (ASCB-1),,Extérieur,x
r2,2026-01-18,18 janv.,J01,Liancourt R2B,x,Domicile,x
r2,2026-03-15,15 mars,J02,Wambrechies R2B,,Extérieur,x
r2,2026-03-29,29 mars,J03,Margny-Venette R2A,,Extérieur,x
r2,2026-03-29,29 mars,J04,Béthune R2A,,Extérieur,x
