pool   , team                          , J , G, N, P , F, B+, P-, Pts, chambly
Poule 1, ASPTT Strasbourg              , 10, 8, 2,  0, 0,  0, 0 ,  46, 
Poule 1, Le Volant Airois              , 10, 6, 1,  3, 0,  1, 0 ,  37, 
Poule 1, Bad'Club de Rostrenen         , 10, 5, 2,  3, 0,  1, 0 ,  35, 
Poule 1, Red Star Mulhouse             , 10, 4, 0,  6, 0,  2, 0 ,  28, 
Poule 1, Aix Université Club Badminton , 10, 3, 1,  6, 0,  2, -1,  25, 
Poule 1, Union Saint-Bruno             , 10, 1, 0,  9, 0,  2, 0 ,  16, 
Poule 2, Badminton Club Fos            , 10, 9, 1,  0, 0,  1, 0 ,  49, 
Poule 2, Vga Stella Saint Maur         , 10, 7, 1,  2, 0,  3, 0 ,  43, 
Poule 2, B.C. Chambly Oise             , 10, 6, 1,  3, 0,  7, 0 ,  43, x
Poule 2, Flume Ille Badminton          , 10, 4, 0,  6, 0,  1, 0 ,  27, 
Poule 2, Racing Club de France         , 10, 2, 1,  7, 0,  3, -1,  22, 
Poule 2, Conquerant Badminton Club Caen, 10, 0, 0, 10, 0,  1, -3,   8, 
